FolW,FolM,FolS,FolN,GCW,GCM,GCS,GCN,MZW,MZM,MZS,MZN,InterW,InterM,InterS,InterN
14.84,5.73,5.31,74.12,25.93,19.8,22.82,31.44,11.98,2.58,1.17,84.26,13.49,3.82,1.6,81.09
28.39,11.89,5.15,54.57,29.24,18.41,18.39,33.97,31.5,11.28,1.72,55.5,18.93,7.31,2.2,71.56
19.98,11.62,6.57,61.83,33.76,24.8,14.22,27.22,10.63,2.62,1.35,85.41,19.26,4.83,0.7,75.22
9.07,3.12,1.55,86.26,24.65,15.58,8.25,51.52,6.52,0.91,0.26,92.32,7.64,2.33,0.35,89.69
18.59,5.08,1.55,74.78,26.78,13.45,5.92,53.85,17.09,3.54,0.75,78.62,21.06,6.71,1.12,71.1
