FolW,FolM,FolS,FolN,GW,GM,GS,GN,MW,MM,MS,MN,InterW,InterM,InterS,InterN
29.9146,49.9561,19.1274,1.0019,33.2106,48.1315,17.5927,1.06516,,,,,34.9186,44.3384,18.919,1.82399
58.6167,14.2615,0.723933,26.3979,57.4352,12.3092,0.833909,29.4217,,,,,58.6083,10.5977,0.401378,30.3927
45.789,2.18756,3.20E-02,51.9915,43.3416,1.83923,2.51E-02,54.7941,,,,,41.4564,1.53824,4.22E-02,56.9632
35.8217,43.4477,18.3876,2.34305,38.8087,40.6099,17.9381,2.64333,,,,,39.3158,37.35,19.0825,4.25163
28.1852,33.1323,33.4017,5.28089,43.5075,27.6561,16.4118,12.4247,,,,,47.3653,33.3844,10.9469,8.30343
51.7623,18.0482,7.33362,22.8559,55.7133,16.4589,6.08897,21.7388,,,,,54.1779,12.8377,2.73897,30.2454
64.4438,8.49368,0.11736,26.9452,66.3365,7.88097,0.156974,25.6256,,,,,62.5302,7.90162,0.343276,29.2249
