FolW,FolM,FolS,FolN,GCW,GCM,GCS,GCN,MZW,MZM,MZS,MZN,InterW,InterM,InterS,InterN
4.08,1.94,0.49,93.49,18.58,9.6,2.43,69.4,1.16,0.32,0.03,98.5,1.26,0.26,0,98.48
10.24,2.71,0.73,86.32,18.52,8.43,3.01,70.05,8.16,1.4,0.26,90.17,11.28,2.79,0.49,85.43
5.76,3.58,2.23,88.44,16.83,12.44,8.83,61.9,2.8,0.82,0.37,96.02,7.64,2.49,0.82,89.05
23.22,8.11,2.56,66.11,24.93,12.26,7.53,55.28,22.76,6.41,0.96,69.87,5.86,1.71,0.37,92.07
17.6,5.49,0.7,76.22,28.79,12.86,2.07,56.29,14.07,2.94,0.25,82.75,9.64,2.23,0.22,87.91
